point,type,months,total,monthly
彰化縣大村鄉立幼兒園加錫分班,公立,0,0,NAN
彰化縣大村鄉立幼兒園大村一分班,公立,0,0,NAN
彰化縣大村鄉立幼兒園大村分班,公立,0,0,NAN
彰化縣大村鄉立幼兒園平和分班,公立,0,0,NAN
彰化縣大村鄉立幼兒園擺塘分班,公立,0,0,NAN
彰化縣大村鄉立幼兒園茄苳分班,公立,0,0,NAN
彰化縣大榮非營利幼兒園（委託社團法人彰化縣中華幼兒教保職涯發展協會辦理）,非營利,0,0,NAN
彰化縣大西非營利幼兒園（委託社團法人彰化縣樂說多元專業服務發展協會辦理）,非營利,0,0,NAN
彰化縣彰化市中山國民小學附設幼兒園,公立,0,0,NAN
彰化縣彰化市南郭國民小學附設幼兒園,公立,0,0,NAN
彰化縣彰化市大成國民小學附設幼兒園,公立,0,0,NAN
彰化縣彰化市忠孝國民小學附設幼兒園,公立,0,0,NAN
彰化縣彰化市東芳國民小學附設幼兒園,公立,0,0,NAN
彰化縣彰化市立幼兒園介壽分班,公立,0,0,NAN
彰化縣梧鳳非營利幼兒園（委託財團法人亞洲大學辦理）,非營利,0,0,NAN
彰化縣民生非營利幼兒園（委託社團法人彰化縣全方位教育協會辦理）,非營利,0,0,NAN
彰化縣永靖鄉永靖國民小學附設幼兒園,公立,0,0,NAN
彰化縣永靖鄉立幼兒園,公立,0,0,NAN
彰化縣湖南非營利幼兒園（委託社團法人彰化縣劍橋社會關懷協會辦理）,非營利,0,0,NAN
彰化縣溪州鄉溪州國民小學附設幼兒園,公立,0,0,NAN
彰化縣溪州鄉立幼兒園,公立,0,0,NAN
彰化縣溪州鄉立幼兒園三條分班,公立,0,0,NAN
彰化縣溪州鄉立幼兒園圳寮分班,公立,0,0,NAN
彰化縣溪州鄉立幼兒園大庄分班,公立,0,0,NAN
彰化縣溪州鄉立幼兒園張厝分班,公立,0,0,NAN
彰化縣溪州鄉立幼兒園東州分班,公立,0,0,NAN
彰化縣溪州鄉立幼兒園水尾分班,公立,0,0,NAN
彰化縣溪州鄉立幼兒園溪厝分班,公立,0,0,NAN
彰化縣溪州鄉立幼兒園舊眉分班,公立,0,0,NAN
彰化縣溪州鄉立幼兒園西畔分班,公立,0,0,NAN
彰化縣溪湖鎮湖北國民小學附設幼兒園,公立,0,0,NAN
彰化縣溪湖鎮湖東國民小學附設幼兒園,公立,0,0,NAN
彰化縣溪湖鎮溪湖國民小學附設幼兒園,公立,0,0,NAN
彰化縣田中鎮田中國民小學附設幼兒園,公立,0,0,NAN
彰化縣田中鎮立幼兒園,公立,0,0,NAN
彰化縣田中鎮立幼兒園明禮分班,公立,0,0,NAN
彰化縣田中鎮立幼兒園舊街分班,公立,0,0,NAN
彰化縣田中鎮立幼兒園頂潭分班,公立,0,0,NAN
彰化縣田中鎮立幼兒園龍潭分班,公立,0,0,NAN
彰化縣田尾鄉田尾國民小學附設幼兒園,公立,0,0,NAN
彰化縣田尾鄉立幼兒園,公立,0,0,NAN
彰化縣社頭鄉崙雅國民小學附設幼兒園,公立,0,0,NAN
彰化縣社頭鄉橋頭國民小學附設幼兒園,公立,0,0,NAN
彰化縣社頭鄉社頭國民小學附設幼兒園,公立,0,0,NAN
彰化縣社頭鄉立幼兒園,公立,0,0,NAN
彰化縣社頭鄉立幼兒園協和分班,公立,0,0,NAN
彰化縣福德非營利幼兒園（委託社團法人彰化縣中華幼兒教保職涯發展協會辦理）,非營利,0,0,NAN
彰化縣福興鄉立幼兒園,公立,0,0,NAN
彰化縣福興鄉立幼兒園東區分班,公立,0,0,NAN
彰化縣福興鄉管嶼國民小學附設幼兒園,公立,0,0,NAN
彰化縣福興鄉育新國民小學附設幼兒園,公立,0,0,NAN
彰化縣秀水鄉立幼兒園,公立,0,0,NAN
彰化縣私立伸港大同幼兒園,準公共化,0,0,NAN
彰化縣私立向上心幼兒園,私立,0,0,NAN
彰化縣私立均成幼兒園,私立,0,0,NAN
彰化縣私立寶貝樂幼兒園,私立,0,0,NAN
彰化縣私立小樹苗幼兒園,私立,0,0,NAN
彰化縣私立悅恩幼兒園,準公共化,0,0,NAN
彰化縣私立惠兒園幼兒園,私立,0,0,NAN
彰化縣私立愛育幼兒園,私立,0,0,NAN
彰化縣私立成陽幼兒園,私立,0,0,NAN
彰化縣私立明星幼兒園,私立,0,0,NAN
彰化縣私立晨光幼兒園,準公共化,0,0,NAN
彰化縣私立東陽幼兒園,私立,0,0,NAN
彰化縣私立永安幼兒園,準公共化,0,0,NAN
彰化縣私立美爾頓幼兒園,私立,0,0,NAN
彰化縣私立育苗幼兒園,私立,0,0,NAN
彰化縣私立萊恩寶貝幼兒園,準公共化,0,0,NAN
彰化縣私立親美幼兒園,私立,0,0,NAN
彰化縣竹塘鄉竹塘國民小學附設幼兒園,公立,0,0,NAN
彰化縣線西鄉立幼兒園,公立,0,0,NAN
彰化縣線西鄉線西國民小學附設幼兒園,公立,0,0,NAN
彰化縣興光非營利幼兒園（委託社團法人彰化縣中華幼兒教保職涯發展協會辦理）,非營利,0,0,NAN
彰化縣芬園鄉芬園國民小學附設幼兒園,公立,0,0,NAN
彰化縣花壇鄉立幼兒園,公立,0,0,NAN
彰化縣花壇鄉立幼兒園文祥分班,公立,0,0,NAN
彰化縣花壇鄉立幼兒園橋頭分班,公立,0,0,NAN
彰化縣花壇鄉立幼兒園白沙分班,公立,0,0,NAN
彰化縣花壇鄉立幼兒園長春分班,公立,0,0,NAN
彰化縣花壇鄉華南國民小學附設幼兒園,公立,0,0,NAN
彰化縣芳苑鄉漢寶國民小學附設幼兒園,公立,0,0,NAN
彰化縣芳苑鄉王功國民小學附設幼兒園,公立,0,0,NAN
彰化縣芳苑鄉芳苑國民小學附設幼兒園,公立,0,0,NAN
彰化縣草港非營利幼兒園（委託社團法人南投縣手工藝發展協會辦理）,非營利,0,0,NAN
彰化縣萬來非營利幼兒園（委託社團法人彰化縣友善教育公益協會辦理）,非營利,0,0,NAN
彰化縣鹿港鎮文開國民小學附設幼兒園,公立,0,0,NAN
彰化縣鹿港鎮東興國民小學附設幼兒園,公立,0,0,NAN
彰化縣鹿港鎮洛津國民小學附設幼兒園,公立,0,0,NAN
彰化縣鹿港鎮海埔國民小學附設幼兒園,公立,0,0,NAN
彰化縣鹿港鎮立幼兒園,公立,0,0,NAN
彰化縣鹿港鎮頂番國民小學附設幼兒園,公立,0,0,NAN
彰化縣鹿港鎮鹿東國民小學附設幼兒園,公立,0,0,NAN
彰化縣鹿港鎮鹿港國民小學附設幼兒園,公立,0,0,NAN
社團法人彰化縣友善教育公益協會附設彰化縣私立育民非營利幼兒園（彰化縣政府委託辦理）,非營利,0,0,NAN
