point,type,months,total,monthly
屏東縣滿州鄉永港國民小學附設幼兒園,公立,0,0,NAN
屏東縣滿州鄉滿州國民小學附設幼兒園,公立,0,0,NAN
屏東縣滿州鄉長樂國民小學附設幼兒園,公立,0,0,NAN
屏東縣潮州鎮四林國民小學附設幼兒園,公立,0,0,NAN
屏東縣潮州鎮潮南國民小學附設幼兒園,公立,0,0,NAN
屏東縣潮州鎮潮東國民小學附設幼兒園,公立,0,0,NAN
屏東縣牡丹鄉牡丹國民小學附設幼兒園,公立,0,0,NAN
屏東縣牡丹鄉石門國民小學附設幼兒園,公立,0,0,NAN
屏東縣獅子鄉丹路國民小學附設幼兒園,公立,0,0,NAN
屏東縣獅子鄉楓林國民小學附設幼兒園,公立,0,0,NAN
屏東縣獅子鄉草埔國民小學附設幼兒園,公立,0,0,NAN
屏東縣琉球鄉全德國民小學附設幼兒園,公立,0,0,NAN
屏東縣琉球鄉天南國民小學附設幼兒園,公立,0,0,NAN
屏東縣琉球鄉琉球國民小學附設幼兒園,公立,0,0,NAN
屏東縣琉球鄉白沙國民小學附設幼兒園,公立,0,0,NAN
屏東縣琉球鄉立幼兒園,公立,0,0,NAN
屏東縣琉球鄉立幼兒園中福分班,公立,0,0,NAN
屏東縣琉球鄉立幼兒園本福分班,公立,0,0,NAN
屏東縣瑪家鄉北葉國民小學附設幼兒園,公立,0,0,NAN
屏東縣瑪家鄉立幼兒園,公立,0,0,NAN
屏東縣瑪家鄉長榮百合國民小學附設幼兒園,公立,0,0,NAN
屏東縣私立佳群幼兒園,私立,0,0,NAN
屏東縣私立嘉音幼兒園,準公共化,0,0,NAN
屏東縣私立愛麗幼兒園,私立,0,0,NAN
屏東縣私立新怡光幼兒園,準公共化,0,0,NAN
屏東縣私立東港區漁會幼兒園,準公共化,0,0,NAN
屏東縣竹田鄉大明國民小學附設幼兒園,公立,0,0,NAN
屏東縣竹田鄉竹田國民小學附設幼兒園,公立,0,0,NAN
屏東縣竹田鄉西勢國民小學附設幼兒園,公立,0,0,NAN
屏東縣萬丹鄉新庄國民小學附設幼兒園,公立,0,0,NAN
屏東縣萬丹鄉興化國民小學附設幼兒園,公立,0,0,NAN
屏東縣萬丹鄉萬丹國民小學附設幼兒園,公立,0,0,NAN
屏東縣萬巒鄉佳佐國民小學附設幼兒園,公立,0,0,NAN
屏東縣車城鄉立幼兒園,公立,0,0,NAN
屏東縣車城鄉車城國民小學附設幼兒園,公立,0,0,NAN
屏東縣里港鄉土庫國民小學附設幼兒園,公立,0,0,NAN
屏東縣里港鄉立幼兒園,公立,0,0,NAN
屏東縣里港鄉里港國民小學附設幼兒園,公立,0,0,NAN
屏東縣長治鄉德協國民小學附設幼兒園,公立,0,0,NAN
屏東縣長治鄉繁華國民小學附設幼兒園,公立,0,0,NAN
屏東縣長興非營利幼兒園(委託財團法人大仁科技大學設立之大仁科技大學辦理),非營利,0,0,NAN
屏東縣高樹鄉泰山國民小學附設幼兒園,公立,0,0,NAN
屏東縣高樹鄉田子國民小學附設幼兒園,公立,0,0,NAN
屏東縣高樹鄉舊寮國民小學附設幼兒園,公立,0,0,NAN
屏東縣高樹鄉高樹國民小學附設幼兒園,公立,0,0,NAN
屏東縣鶴聲非營利幼兒園(委託社團法人台灣公共托育協會辦理),非營利,0,0,NAN
屏東縣鹽埔鄉彭厝國民小學附設幼兒園,公立,0,0,NAN
屏東縣鹽埔鄉振興國民小學附設幼兒園,公立,0,0,NAN
屏東縣鹽埔鄉新圍國民小學附設幼兒園,公立,0,0,NAN
屏東縣鹽埔鄉立幼兒園,公立,0,0,NAN
屏東縣麟洛鄉麟洛國民小學附設幼兒園,公立,0,0,NAN
里港基督長老教會附設屏東縣私立聖愛幼兒園,私立,0,0,NAN
