point,area,type,months,total1,total2,monthly1,monthly2,total3
嘉義縣義竹鄉農會非營利幼兒園(嘉義縣義竹鄉農會申請辦理),義竹鄉,非營利,12,0,0,13273,0,159276
嘉義縣義竹鄉農會非營利幼兒園,義竹鄉,準公共化,12,0,0,5100,0,61200
嘉義縣義竹鄉過路國民小學附設幼兒園,義竹鄉,公立,9,30915,0,3435,0,30915
嘉義縣豐山實驗教育學校附設幼兒園,阿里山鄉,公立,9,32265,200,3585,22,32265
嘉義縣阿里山鄉十字國民小學附設幼兒園,阿里山鄉,公立,9,31815,0,3535,0,31815
嘉義縣阿里山鄉山美國民小學附設幼兒園,阿里山鄉,公立,9,34821,0,3869,0,34821
嘉義縣阿里山鄉立阿里山幼兒園,阿里山鄉,公立,11,32300,0,2936,0,32300
嘉義縣阿里山鄉茶山國民小學附設幼兒園,阿里山鄉,公立,9,35721,0,3969,0,35721
嘉義縣阿里山鄉達邦國民小學附設幼兒園,阿里山鄉,公立,9,35901,0,3989,0,35901
嘉義縣鹿草鄉下潭國民小學附設幼兒園,鹿草鄉,公立,9,31815,0,3535,0,31815
嘉義縣鹿草鄉後塘國民小學附設幼兒園,鹿草鄉,公立,9,31815,0,3535,0,31815
嘉義縣鹿草鄉鹿草國民小學附設幼兒園,鹿草鄉,公立,9,32265,0,3585,0,32265
財團法人中華民國佛教慈濟慈善事業基金會附設嘉義縣私立大林大愛幼兒園,大林鎮,私立,12,103000,0,8583,0,103000
財團法人嘉義縣私立聖光幼兒園,新港鄉,準公共化,12,92816,14400,7735,1200,92816
財團法人天主教會嘉義教區附設嘉義縣私立星海幼兒園,義竹鄉,準公共化,12,102804,14400,8567,1200,102804
財團法人天主教會嘉義教區附設嘉義縣私立曉明幼兒園,朴子市,準公共化,12,103496,14400,8625,1200,103496
財團法人天主教會嘉義教區附設嘉義縣私立聖嬰幼兒園,竹崎鄉,準公共化,12,98472,14400,8206,1200,98472
財團法人天主教會嘉義教區附設嘉義縣私立震旦幼兒園,新港鄉,準公共化,12,97344,14400,8112,1200,97344
財團法人朴子高明寺附設嘉義縣私立高明幼兒園,朴子市,準公共化,12,102008,14400,8501,1200,102008
