point,area,type,months,total1,total2,monthly1,monthly2,total3
臺南市私立慧慈幼兒園,善化區,準公共化,12,109464,9000,9122,750,109464
臺南市私立才子幼兒園,東區,私立,12,183800,36960,15317,3080,183800
臺南市私立才碩幼兒園,安南區,準公共化,12,114480,9000,9540,750,114480
臺南市私立敦煌幼兒園,永康區,準公共化,12,153600,9000,12800,750,153600
臺南市私立文林幼兒園,東區,準公共化,12,132756,9000,11063,750,132756
臺南市私立新世代人文藝術幼兒園,東區,準公共化,12,122108,9000,10176,750,122108
臺南市私立新光暉幼兒園,安南區,私立,12,226000,52800,18833,4400,226000
臺南市私立新化維妮幼兒園,新化區,準公共化,12,256000,30000,21333,2500,256000
臺南市私立新園幼兒園,東區,私立,12,204600,13200,17050,1100,204600
臺南市私立新大華幼兒園,中西區,準公共化,12,107244,9000,8937,750,107244
臺南市私立新天使幼兒園,新營區,私立,12,93400,36000,7783,3000,93400
臺南市私立新寶幼兒園,新市區,準公共化,12,177560,9000,14797,750,177560
臺南市私立新才華幼兒園,歸仁區,準公共化,12,138180,9000,11515,750,138180
臺南市私立新樓幼兒園,東區,私立,12,152040,26400,12670,2200,152040
臺南市私立新營小太陽幼兒園,新營區,私立,12,135000,55200,11250,4600,135000
臺南市私立新生代幼兒園,永康區,準公共化,12,89404,0,7450,0,89404
臺南市私立新生幼兒園,東區,私立,12,150000,36000,12500,3000,150000
臺南市私立新育人幼兒園,鹽水區,準公共化,12,95060,9000,7922,750,95060
臺南市私立新育光幼兒園,南區,準公共化,12,92880,9000,7740,750,92880
臺南市私立新迪斯奈幼兒園,南區,準公共化,12,103200,0,8600,0,103200
臺南市私立方圓幼兒園,北區,私立,12,147600,26400,12300,2200,147600
臺南市私立日光小河馬幼兒園,東區,私立,12,273000,48000,22750,4000,273000
臺南市私立日光幼兒園,白河區,準公共化,12,119256,39600,9938,3300,119256
臺南市私立昇良幼兒園,關廟區,準公共化,12,113640,9000,9470,750,113640
臺南市私立明德幼兒園,關廟區,私立,12,92400,0,7700,0,92400
臺南市私立明日之星幼兒園,仁德區,準公共化,12,122400,30000,10200,2500,122400
臺南市私立星堡幼兒園,永康區,私立,12,134000,36000,11167,3000,134000
臺南市私立智全幼兒園,永康區,準公共化,12,127800,9000,10650,750,127800
臺南市私立智慧園幼兒園,東區,私立,12,138600,12000,11550,1000,138600
臺南市私立曉信幼兒園,新市區,私立,12,220000,72000,18333,6000,220000
臺南市私立朝日幼兒園,安南區,準公共化,12,99840,9000,8320,750,99840
臺南市私立朝陽幼兒園,安南區,準公共化,12,130272,52800,10856,4400,130272
臺南市私立東東幼兒園,善化區,準公共化,12,126684,57600,10557,4800,126684
臺南市私立東松幼兒園,北區,準公共化,12,108000,9000,9000,750,108000
臺南市私立松安幼兒園,關廟區,私立,12,88600,9000,7383,750,88600
臺南市私立柏林幼兒園,安平區,私立,12,119000,79200,9917,6600,119000
臺南市私立柏欣幼兒園,北區,準公共化,12,156000,9000,13000,750,156000
臺南市私立格林幼兒園,安平區,私立,12,118000,0,9833,0,118000
臺南市私立樂耕幼兒園,安南區,準公共化,12,140076,6000,11673,500,140076
臺南市私立樂芙幼兒園,新市區,私立,12,168000,22800,14000,1900,168000
臺南市私立樂貝兒幼兒園,東區,私立,12,152300,48000,12692,4000,152300
臺南市私立欣惠群幼兒園,南區,準公共化,12,108000,9000,9000,750,108000
臺南市私立欣榮幼兒園,柳營區,準公共化,12,116280,9000,9690,750,116280
臺南市私立欣苗幼兒園,南區,準公共化,12,128928,9000,10744,750,128928
臺南市私立欽智幼兒園,下營區,私立,12,91600,0,7633,0,91600
臺南市私立正大幼兒園,關廟區,準公共化,12,97980,9000,8165,750,97980
臺南市私立正心幼兒園,佳里區,私立,12,82800,0,6900,0,82800
臺南市私立武聖幼兒園,中西區,準公共化,12,112236,9000,9353,750,112236
臺南市私立歸園幼兒園,歸仁區,私立,12,115400,26400,9617,2200,115400
臺南市私立永康幼兒園,永康區,私立,12,107600,0,8967,0,107600
